No-Wind, Baseline, GP, Trajectory
(0.180,0.131), (0.056,0.015), (0.025,0.008), ellipse
(0.203,0.153), (0.036,0.015), (0.016,0.006), lemniscate
(0.139,0.211), (0.014,0.019), (0.002,0.010), lemniscate2
(0.151,0.188), (0.013,0.013), (0.002,0.009), lemniscate3
(0.138,0.176), (0.020,0.014), (0.003,0.008), lemniscate4
(0.104,0.128), (0.009,0.011), (0.001,0.006), line
